,N,xm,nr,ni,p1,p2,p3,taus_out,taua_out
0,7,0.64,1.71,0.045,1.6851099787192252,-0.0015774732043744,-0.009044230431717,0.036755837000011775,0.03224382859799435
1,10,0.336,1.3,0.023,2.2354631891384167,-0.0964441326893526,-0.1048013336447299,0.0008480184604179835,0.01319563692191989
2,6,0.64,1.3,0.023,0.3397161498187506,-0.0001231821865324,-0.0024862232138497,0.006374783906152051,0.016244429968662332
3,7,0.48,1.3,0.023,0.6183080585982746,-0.0001893047944417,-0.0013087568908385,0.0024431925211310227,0.013706261493430348
4,8,0.53,1.8,0.023,1.429309890929084,-0.0079677862809254,-0.013563709275541,0.023746888620051667,0.013823311360285393
5,8,0.96,1.68,0.023,8.327186075300396,-0.3405934345730143,-0.2042852872700543,0.19110662905595455,0.03591061277477699
6,8,0.336,1.68,0.045,0.5550904427175937,-0.0005998493939701,-0.0022539227350631,0.00288051772165145,0.01643888178049747
7,7,0.65,1.6,0.02,-1.0571814447660604,0.0152847911623664,0.0484186094615342,0.029119074709895856,0.015357165903403212
8,8,0.832,1.68,0.023,5.369441984411892,-0.1350532371161147,-0.1061866097679085,0.11107634230924678,0.028467489101925716
9,9,0.53,2.0,0.023,4.739164740145148,-0.2070661713334601,-0.2284544386674179,0.03766628648554614,0.01391980219413845
10,10,0.336,1.71,0.09,3.304230840442911,-0.1025914841447026,-0.1188049262444584,0.003875617309948686,0.03994057659282581
11,9,0.479,1.8,0.023,4.112836159879749,-0.1170542387778318,-0.1650403066221224,0.017605073296273786,0.013507653878612035
12,9,0.82,1.54,0.046,16.325931049300017,-2.28231529535878,-0.7550764689192201,0.07635016270775782,0.0634684851505108
13,8,0.504,1.71,0.045,1.5702607001359528,-0.00627917598839,-0.012585372003804,0.015933194393013182,0.02648738142288592
14,10,0.64,1.3,0.09,16.637300040342396,-2.87847177985168,-0.4837455893285507,0.011385775867203723,0.10472812038071658
15,8,0.64,2.3,0.09,3.652721120146475,-0.0415855370809911,-0.064294560524393,0.1084780458403183,0.05851368517694476
16,8,0.73,1.8,0.023,3.4446157369170285,-0.0624844110507611,-0.0631064209844613,0.08812923165199794,0.02242334469417288
