,N,xm,nr,ni,p1,p2,p3
51,10,0.4,1.96,0.019,2.906624662604222,-0.12418543004916266,-0.2666322352134375
52,8,0.4,1.31,0.021,-0.25785111157434737,0.0261059822914756,-0.0036476446406883516
53,10,0.6,1.34,0.078,8.150591556494188,-0.1696840190464788,-0.21497822326370958
54,7,0.5,1.83,0.017,0.09642118575598202,0.018640846299580446,0.019982639065336306
55,8,0.4,1.33,0.011,-0.4014190402672242,0.05173866690435389,0.03573718763950268
56,10,0.6,1.3,0.086,8.222874319216254,-0.06485699644826448,-0.07269596708157844
57,8,0.5,1.66,0.006,0.7235275444895994,0.017262566329044042,-0.02435519454484491
58,9,0.6,1.63,0.02,1.47551727738644,-0.00021520987676930392,-0.05424419711053467
59,10,0.4,2.03,0.016,2.6489232694571134,-0.5347579520635952,-0.33835932861092
60,7,0.6,1.3,0.018,0.738098341440228,-0.0015325311568730252,0.00879073926340387
61,10,0.4,1.36,0.026,2.4259971310788684,-0.07090987722105292,-0.048482927564515804
62,9,0.4,1.93,0.028,4.365216792768751,-0.10072087897891316,-0.2480225450445487
63,10,0.4,2.13,0.032,1.7864605765361867,-0.05926094576106572,-0.026304918899089393
64,7,0.5,1.48,0.028,1.1315259377864069,0.016099314361403237,0.009656862466490817
65,10,0.4,1.34,0.003,7.1411548861327665,-0.1211036637642702,-0.15172112211526267
66,8,0.6,1.68,0.027,3.2207056870862045,-0.016334239477453077,-0.029693757672758538
67,10,0.5,1.34,0.014,7.157885659294252,-1.6771894456113234,-0.445399936456651
68,9,0.6,1.73,0.031,1.9423491340741343,-0.36125077348709106,-0.1683458742422482
69,8,0.4,1.64,0.024,1.9720102681275289,0.0007379359482818926,0.009840498532960509
70,8,0.5,1.46,0.026,6.026394712875597,-0.11476689660306894,-0.2785886063624836
71,10,0.6,1.94,0.084,26.464244558170996,-2.9404034054329924,-0.6821373322995984
72,8,0.4,1.68,0.03,2.842388787518476,-0.01826009036194434,-0.024890619786699493
73,7,0.4,2.0,0.028,-0.05485653363781218,0.006282302233237912,-0.020910237109659738
74,8,0.4,1.39,0.008,0.25638269969184746,0.01137229130522533,0.006922970545396458
75,10,0.6,2.13,0.095,8.236953094516661,-0.25893763267607134,-0.33423628145834716
76,9,0.5,2.07,0.027,2.4975215152355683,-0.07295097210027675,-0.1912466278828488
77,10,0.4,1.39,0.012,1.0258706935300825,-0.03783176285201141,-0.14068444442391212
78,10,0.4,1.97,0.031,2.145264976038978,-0.030648421619500023,-0.039859795979992584
79,9,0.6,2.04,0.024,6.962717265563313,-0.3238624917970458,-0.161233198774903
80,10,0.6,1.33,0.077,6.890301534102788,-0.06964444631903235,-0.25705238900795957
81,10,0.6,1.94,0.03,9.117894090275545,-2.249518144816762,-0.17779767285661605
82,10,0.5,1.42,0.077,9.464627764224849,-0.387803571680734,-0.47005532565153285
83,10,0.6,1.98,0.092,8.692246516200003,-0.44956810433010524,-0.19491293585686897
84,10,0.5,1.4,0.019,8.887168181401101,-2.499531537102429,-0.5247138295722935
85,8,0.5,1.62,0.029,1.063318570712394,0.021198606185144554,0.012889603438603136
86,9,0.4,1.94,0.029,2.691214196320427,-0.12738310078649992,-0.28877116735712294
