,N,xm,nr,ni,taus_out,taua_out,qs_tm,qs_pm,m0,p1,p2,p3,Rf,xm_m0,N_m0,N_xm
0,1024,0.336,1.3,0.001,0.0008434970376737,0.0005740611938353,0.245158,0.1893056596202261,0.1869929306910146,1.8625097381934252,-0.09439059238725497,-0.10030232423379233,1.6728591874378875,0.06282962471218091,9.574038051379949,344.064
1,1024,0.336,1.3,0.004,0.0008435669866131,0.0022960504081544,0.2445364,0.1902333366750787,0.18700884161077186,1.9209625939408563,-0.0946442166342043,-0.10101151438037936,1.6826423549040153,0.06283497078121934,9.57485269047152,344.064
2,1024,0.336,1.3,0.023,0.0008480178634899,0.0131956363596557,0.2422944,0.1978100089268975,0.18755224681131422,2.2354631891384167,-0.09644413268935265,-0.10480133364472992,1.3560024070065395,0.06301755492860157,9.602675036739289,344.064
3,1024,0.336,1.3,0.045,0.0008618162376458,0.0258041599859647,0.24202120000000002,0.2103227832683103,0.18912870484013802,2.6192685544724306,-0.09827935968888321,-0.10948872536202503,0.9357028894569605,0.06354724482628638,9.683389687815067,344.064
4,1024,0.336,1.3,0.09,0.0009189671130325,0.0515646201011822,0.24921559999999998,0.2460817460140619,0.1954102188797921,3.3826073635315304,-0.10237396014677702,-0.1187389688136498,0.30342494581220536,0.06565783354361014,10.005003206645355,344.064
5,1024,0.336,1.66,0.001,0.0033956794822717,0.0004603005358772,1.0805263999999999,1.0379629820662095,0.36916521165684457,1.9267211845040002,-0.09514781315788848,-0.10196246327267051,1.6164056338585482,0.12403951111669978,18.901258836830443,344.064
6,1024,0.336,1.66,0.002,0.003395624796439,0.0009205802264317,1.079594,1.0366943465051721,0.3691665241415702,1.9456854965504216,-0.09537718935510375,-0.10216713709501597,1.6035162386856787,0.1240399521115676,18.901326036048395,344.064
7,1024,0.336,1.66,0.002,0.003395624796439,0.0009205802264317,1.079594,1.0366943465051721,0.3691665241415702,1.9456854965504216,-0.09537718935510375,-0.10216713709501597,1.6035162386856787,0.1240399521115676,18.901326036048395,344.064
8,1024,0.336,1.71,0.023,0.0038215122721335,0.010225498754662,1.212872,1.173994149576414,0.39096277768520404,2.2719653175904653,-0.09695471150165524,-0.10639574898634434,1.1673540093030217,0.13136349330222857,20.017294217482448,344.064
9,1024,0.336,1.71,0.09,0.0038756178557522,0.0399405761972815,1.174056,1.1033696100912325,0.39397345624574553,3.304230840442911,-0.1025914841447026,-0.11880492624445847,0.3356797905161276,0.1323750812985705,20.171440959782174,344.064
10,1024,0.336,2.0,0.004,0.0063785672493697,0.0014492917132555,2.212258333333333,2.2761784522671205,0.5000039999822224,1.4770245851232158,-0.0555868148513928,-0.07253956162941712,1.476005477095213,0.16800134399402675,25.60020479908979,344.064
11,1024,0.336,2.0,0.023,0.0063797348873644,0.0083303519125196,2.175496,2.238625639750526,0.5001322305708222,2.2542035184735183,-0.0982387183122978,-0.10796562527335395,1.0802382028466695,0.1680444294717963,25.6067702052261,344.064
12,1024,0.336,2.0,0.045,0.0063869715493983,0.0162903023230325,2.1474439999999997,2.1961430744735404,0.5005059654711365,2.57087883426808,-0.09996159277552974,-0.11174256901172946,0.7789499202551837,0.16817000439830185,25.625905432122188,344.064
