,N,xm,nr,ni,p1,p2,p3
59,7,0.73,1.3,0.023,1.5380146566607211,-0.0036448287524386,-0.0122316940790674
60,10,0.336,1.66,0.002,1.9456854965504216,-0.0953771893551037,-0.1021671370950159
61,8,0.48,1.8,0.023,1.1273389874378787,-0.0045128708756587,-0.0088086759029125
62,8,0.43,1.3,0.023,0.7521069018319306,-0.0022385693085507,-0.0044931048235668
63,8,0.96,1.68,0.045,10.946264816231412,-0.2812119155773209,-0.2184818270198017
64,9,0.832,1.8,0.023,13.50065889900078,-2.531047965662434,-0.7560040502285839
65,8,0.78,1.84,0.05,5.920778941983018,-0.1133726808725236,-0.1135835144507221
66,8,0.336,1.45,0.09,0.7233556788760028,-0.0008620849697126,-0.0028141975619374
67,6,0.96,1.68,0.023,2.685195322643388,-0.0062309496760917,-0.0274520578122835
68,9,0.479,1.68,0.023,4.056674900398377,-0.1160531492212428,-0.162867416256243
69,9,0.336,1.66,0.002,1.836892280395765,-0.0157633148217602,-0.0484963761847156
70,9,0.81,1.85,0.02,11.170529589740186,-2.1796330094275818,-0.7048374368721356
71,8,0.336,1.3,0.3,1.550003756550731,-0.0008235559242496,-0.0058015466295871
72,9,0.58,1.45,0.023,5.115969492916039,-0.3142817643054852,-0.2709241358233598
73,8,0.64,1.45,0.3,9.953770565089217,-0.0555416502810296,-0.1156297817040022
74,8,0.336,1.45,0.045,0.5543727940269235,-0.0007981575007212,-0.0022385211162496
75,8,0.64,1.68,0.3,9.958209789431198,-0.0521240763836545,-0.1068139866377579
76,8,0.82,1.54,0.03,4.681030749245075,0.0980496325479964,0.0091062375293937
77,8,0.336,1.68,0.004,0.4115707907152878,-0.0005374561282809,-0.0017691574143305
78,8,0.96,1.71,0.006,5.883325272777404,-0.316971373297189,-0.1708112746777412
79,9,0.832,1.3,0.09,21.17910219300632,-2.53355227450931,-0.8436415264476332
80,8,0.96,1.3,0.006,4.786552395668948,-0.1746749883338149,-0.0711430024862955
81,9,0.832,1.68,0.023,13.51845871213759,-2.441210075352596,-0.7288087018288696
82,6,0.53,1.68,0.023,0.443697934083831,-0.0001520578890111,-0.0015593020260086
83,6,0.64,1.68,0.023,0.6215655548782276,-0.0003289395628818,-0.0033657868040961
84,7,0.48,1.45,0.023,0.6502054429521992,-0.0001500666800995,-0.0014245148986577
85,8,0.58,2.0,0.023,1.6802924396664969,-0.0150126130467899,-0.022747400682184
86,8,0.48,1.68,0.023,1.0891007294428,-0.0043529410094116,-0.0081454550592924
87,8,0.96,2.0,0.023,4.074256366303451,-0.4124373484971953,-0.2162823957305812
88,6,0.832,1.71,0.045,2.177705431303133,-0.0027741213245192,-0.0155801343410895
89,9,0.64,2.0,0.023,6.186139564225829,-0.5542253738627679,-0.3805143163512577
90,8,0.64,1.8,0.3,10.014161247835622,-0.0530672984069746,-0.1107131384774026
91,9,0.832,2.0,0.023,9.978358061210114,-2.604701752097621,-0.7444395074511373
92,10,0.64,1.71,0.023,10.30599194818964,-3.0350895103203825,-0.3959414883348613
93,10,0.336,2.0,0.09,3.198936474755578,-0.1029642483072418,-0.1193471763456535
94,8,0.64,2.3,0.023,1.446689926023481,-0.0323947509249775,-0.0431197259020653
95,9,0.46,1.6,0.09,5.018082003034202,-0.0974529279957787,-0.156132587607879
96,7,0.73,1.45,0.023,1.756763018673949,-0.0025874757641861,-0.0103208671983997
97,8,0.96,2.0,0.045,7.62775943282118,-0.4621551509673877,-0.2745479881843028
98,8,0.82,1.54,0.055,7.124019774747215,-0.0905050547782866,-0.0983338722598579
99,8,0.336,1.3,0.023,0.4681341663600847,-0.0005286419897533,-0.0020230218869776
100,9,0.336,1.68,0.004,2.015751432886212,-0.0154353671270708,-0.0479702876546049
101,7,0.64,2.0,0.001,0.821449746519264,0.00015087059393,-0.0024400835753831
102,6,0.64,1.71,0.045,0.903401053013924,-0.0003924690765217,-0.0041126999274101
103,7,0.43,2.0,0.023,0.5482294500835047,-0.0001557523141113,-0.0010333589617281
104,8,0.336,1.68,0.3,1.4418886178301882,-0.000980156056872,-0.005334868506342
105,8,0.64,1.3,0.045,2.409394624840804,-0.0216218500940071,-0.0241911209673045
106,6,0.523,1.69,0.017,0.4635101867886244,-0.0003099298932069,-0.00144104135934
107,8,0.336,1.45,0.023,0.4699441710214903,-0.0005154594042013,-0.0019894971250487
108,10,0.64,2.0,0.023,8.53741666677493,-2.6763530907454323,-0.471463246504783
109,8,0.64,1.8,0.023,2.3508040858754007,-0.0263907806692929,-0.0327368842220821
110,8,0.64,1.68,0.045,2.976197187090196,-0.0267714885745334,-0.0357323681949084
111,9,0.73,1.68,0.023,9.031523661002469,-1.1133965331233528,-0.5157538746235925
112,8,0.832,2.0,0.023,3.8439569625891368,-0.1693260124552863,-0.1308483666918365
113,8,0.96,1.3,0.3,30.57552669898505,-0.5951782060959112,-0.5480859128087617
114,7,0.58,1.45,0.023,0.8439064209483377,-0.000241843390185,-0.0026975765473333
115,10,0.64,1.3,0.045,11.516157629303011,-2.868808370215392,-0.3685249241350408
116,8,0.43,1.68,0.023,0.8436261599674587,-0.0020376971051981,-0.0052236878619721
117,9,0.43,1.8,0.023,3.142458361559988,-0.0614305686481934,-0.110925857843917
118,8,0.336,2.0,0.09,0.6778525011412831,-0.000731918748517,-0.0027190087502636
119,9,0.56,1.9,0.062,6.958690261275574,-0.2951954401457728,-0.293376173340323
120,8,0.5,1.9,0.035,0.921834087776358,0.0106371007630919,0.0199293659716854
121,9,0.504,1.66,0.002,3.746523610550738,-0.1469838842330581,-0.1780571736215469
122,8,0.437,1.66,0.002,0.6542056250307957,-0.0022114777625666,-0.0032084790119242
123,9,0.62,1.9,0.03,-0.0625113866744684,0.3484336422523547,0.2236498444137401
124,7,0.43,1.3,0.023,0.5251093424161426,-3.558824549804076e-05,-0.0009158261007585
125,8,0.43,2.0,0.023,0.8615617851685868,-0.0024173779847446,-0.0058589928742509
126,7,0.6,1.84,0.05,1.511922263900373,-0.0013437077824352,-0.0073725460835508
127,9,0.54,1.64,0.03,5.142028038972181,-0.2223437970049988,-0.235150827968049
128,8,0.53,2.0,0.023,1.4193465101982592,-0.0089273914117483,-0.0153287987835783
129,8,0.53,1.45,0.023,1.2077289706070349,-0.0069658698504258,-0.0100551370122364
130,8,0.7,1.86,0.09,5.905419809878767,-0.0633883573062366,-0.0869739636206697
131,10,0.64,2.0,0.045,12.00782148199439,-2.92786655340132,-0.5528740830422794
132,9,0.62,1.92,0.05,8.242204116629408,-0.2844769652338874,-0.3201632669059917
133,8,0.54,1.58,0.074,1.8683464894343955,0.0112881221625678,0.0151931900502698
134,8,0.832,1.71,0.045,7.158336439674375,-0.1637692195759497,-0.1354020494669052
135,8,0.64,1.3,0.3,9.391510872448116,-0.0475167085054205,-0.0966927871464877
136,6,0.43,1.68,0.023,0.2558673084868479,-7.846859053835709e-05,-0.0006433933007278
137,8,0.53,1.3,0.023,1.0856130236819694,-0.0067767092959129,-0.0088499330838836
138,7,0.74,1.82,0.014,1.8772836988319768,-0.0044730964165579,-0.0171416016100803
139,8,0.64,2.3,0.045,2.189360520071346,-0.0369163415368575,-0.0505311818566615
140,8,0.336,1.8,0.3,1.4031318608017476,-0.0009493776095291,-0.0052022555579962
