,N,xm,nr,ni,p1,p2,p3
44,10,0.6,1.42,0.025,5.800162421051647,-1.9933908467050374,-0.2876158385861425
45,10,0.7,1.3,0.014,19.54917584365507,-2.1594538837984265,-0.5945867840355133
46,10,0.6,1.87,0.017,2.639990670664306,-0.37072633972001046,-0.17747420438631978
47,10,0.6,1.94,0.081,4.900885699812353,-0.2725710980937559,-0.2776827221131161
48,9,0.6,2.07,0.026,5.056963977581198,-0.324674343640044,-0.460833539092063
49,9,0.7,1.72,0.091,6.085213145954057,-0.47684875817195804,-0.3983726388547647
50,10,0.6,2.02,0.024,10.134773309912005,-2.3239930412010326,-0.5347173135409982
51,10,0.6,1.87,0.096,7.902046972065332,-1.548481219166788,-0.6217213006771893
52,9,0.7,1.76,0.022,4.923378592950679,-0.3970213529717943,-0.20457508626887588
53,9,0.7,2.01,0.024,2.310751361274628,-0.0567762018221044,-0.084982985729808
54,10,0.5,1.93,0.092,9.45506524202979,-2.1707205331956207,-0.5303323980947902
55,10,0.7,1.45,0.011,6.651069790687535,-2.6977057970649203,-0.4692724407875805
56,10,0.4,1.66,0.017,1.7841711409227665,-2.2359259005335885,-0.2983797784196187
57,9,0.6,1.91,0.026,6.77225912223877,-0.09107766808595419,-0.14001872965226397
58,9,0.6,1.33,0.053,4.621930684481662,-0.019709857471618023,-0.09147454863212584
59,9,0.7,1.88,0.025,20.768474028544333,-1.0856018773972633,-0.5279671312795473
60,10,0.5,1.47,0.086,10.31793489318487,-2.578219139522011,-0.43092083530871195
61,10,0.4,1.36,0.081,5.865001851307477,-0.05295961082827653,-0.11480159307421402
62,10,0.6,1.91,0.089,8.72335807347075,-2.1108610665876792,-0.7324032384556868
63,10,0.5,1.3,0.093,5.4643604009150355,-0.3321510247301897,-0.19501913809276308
64,10,0.6,1.3,0.016,0.7754172145880869,-0.04745169106169651,-0.03838111471093146
65,10,0.6,1.32,0.03,3.7223187714711967,-0.2119513805484173,-0.2468819572339506
66,10,0.6,1.31,0.034,5.15180573584228,-0.016061780726785907,-0.030260827943075545
67,9,0.5,1.66,0.021,4.9891185995506815,-0.5481106669909579,-0.28153795343184923
68,10,0.6,1.3,0.036,5.77969591781509,-0.4228048536769691,-0.1491944182154078
69,10,0.4,2.04,0.093,9.81194202361079,-2.037448005816601,-0.2251855334120415
70,9,0.5,1.76,0.023,2.0269827672566287,-0.16892990907510305,-0.1901722069778938
71,9,0.5,1.65,0.017,4.391044338568328,-0.3470902083400476,-0.14974516543490643
72,10,0.6,1.3,0.034,4.131270854235799,-0.03849136057214182,-0.08003806450441646
73,10,0.6,1.37,0.025,3.7398014980848884,-0.07250634204785328,-0.26189307616020246
74,9,0.6,1.39,0.023,3.1673478739249044,-0.05020401169951186,-0.18767697477562872
75,9,0.7,1.77,0.013,1.719326473709467,-0.04107308662705042,-0.10611151592057644
76,9,0.5,1.95,0.021,6.095813912962754,-0.2986288710898883,-0.20514811856572124
77,10,0.5,1.44,0.088,8.015310983056303,-0.4097695951442437,-0.3727599309683039
78,10,0.7,1.32,0.022,2.3653833311119326,-0.057089318819390306,-0.12682241959597976
79,10,0.7,1.41,0.087,11.477300123334134,-2.701558758376446,-0.48677247010342584
80,10,0.4,1.64,0.007,7.080468284221979,-0.3676225226840553,-0.233919004105086
81,10,0.7,1.3,0.091,5.343833328979621,0.019533600617854856,-0.17682924014931467
82,10,0.7,1.37,0.097,3.044999951927876,-0.048648540788740625,-0.16845331142415956
83,9,0.4,1.71,0.011,1.9425078643963407,-0.056773103231302746,-0.08882154927439731
84,10,0.5,1.95,0.082,10.1301112319649,-2.3337129335208506,-0.6474533375769972
85,10,0.6,1.3,0.034,3.230374505866486,-0.3487627582352746,-0.3660556528727889
86,10,0.6,1.34,0.033,4.524013277253455,-0.39272661180204044,-0.273687827081768
87,9,0.6,1.91,0.086,7.785743512695514,-1.8623805896942252,-0.3778233454963063
88,9,0.6,1.67,0.034,9.184566810119449,-0.47427667832485343,-0.32468817751447643
89,10,0.7,1.37,0.036,5.197758902890016,-0.03850381761580104,-0.19003695598113635
90,10,0.5,2.03,0.029,9.586392256302773,-2.551349368585265,-0.5167811897191168
91,9,0.4,1.97,0.083,4.334381140209017,-0.2505356856041816,-0.19721465200948762
92,10,0.6,1.93,0.088,6.999523346273158,-0.31850551323879916,-0.36545577488283076
