N,xm,nr,ni
256,0.6400,1.80,0.0900
256,0.6400,1.80,0.3000
256,0.6400,1.84,0.0100
256,0.6400,1.90,0.0800
256,0.6400,1.90,0.0900
256,0.6400,2.00,0.0010
256,0.6400,2.00,0.0040
256,0.6400,2.00,0.0230
256,0.6400,2.00,0.0450
256,0.6400,2.00,0.0780
256,0.6400,2.00,0.0900
256,0.6400,2.00,0.3000
256,0.6400,2.30,0.0230
256,0.6400,2.30,0.0450
256,0.6400,2.30,0.0900
256,0.6500,1.74,0.0750
256,0.6500,1.90,0.0300
256,0.6500,1.95,0.0550
256,0.6700,1.70,0.0500
256,0.6800,1.86,0.0400
256,0.6800,1.99,0.0200
256,0.6800,1.99,0.0510
256,0.6800,2.00,0.0800
256,0.7000,1.64,0.0350
256,0.7000,1.68,0.0710
256,0.7000,1.74,0.0900
256,0.7000,1.86,0.0900
256,0.7150,1.77,0.0870
256,0.7300,1.30,0.0230
256,0.7300,1.45,0.0230
256,0.7300,1.68,0.0230
256,0.7300,1.80,0.0230
256,0.7300,1.84,0.0580
256,0.7300,2.00,0.0230
256,0.7400,1.72,0.0500
256,0.7400,1.86,0.0200
256,0.7400,1.86,0.0220
256,0.7400,1.90,0.0300
256,0.7600,1.66,0.0820
256,0.7800,1.84,0.0500
256,0.7900,1.54,0.0600
256,0.7900,1.77,0.0450
256,0.7900,1.87,0.0900
256,0.8100,1.59,0.0770
256,0.8100,1.93,0.0700
256,0.8110,1.44,0.0800
256,0.8200,1.54,0.0300
256,0.8200,1.54,0.0550
256,0.8320,1.30,0.0230
256,0.8320,1.45,0.0230
256,0.8320,1.68,0.0230
256,0.8320,1.71,0.0450
256,0.8320,1.80,0.0230
256,0.8320,2.00,0.0230
256,0.8400,1.55,0.0200
256,0.8400,1.67,0.0500
256,0.8600,1.48,0.0700
256,0.8600,1.52,0.0700
256,0.8800,1.70,0.0100
256,0.8800,1.70,0.0750
256,0.9600,1.30,0.0040
256,0.9600,1.30,0.0060
256,0.9600,1.30,0.0230
256,0.9600,1.30,0.0450
256,0.9600,1.30,0.0900
256,0.9600,1.30,0.3000
256,0.9600,1.68,0.0040
256,0.9600,1.68,0.0230
256,0.9600,1.68,0.0450
256,0.9600,1.68,0.0900
256,0.9600,1.68,0.3000
256,0.9600,1.71,0.0060
256,0.9600,1.71,0.0230
256,0.9600,1.71,0.0450
256,0.9600,1.71,0.0900
256,0.9600,2.00,0.0040
256,0.9600,2.00,0.0060
256,0.9600,2.00,0.0230
256,0.9600,2.00,0.0450
256,0.9600,2.00,0.0900
256,0.9600,2.00,0.3000
512,0.3360,1.30,0.0040
512,0.3360,1.30,0.0230
512,0.3360,1.30,0.0900
512,0.3360,1.66,0.0020
512,0.3360,1.68,0.0040
512,0.3360,2.00,0.0230
512,0.3360,2.00,0.0900
512,0.4000,1.84,0.0150
512,0.4300,1.45,0.0230
512,0.4300,1.68,0.0230
512,0.4300,1.80,0.0230
512,0.4300,2.00,0.0230
512,0.4400,1.98,0.0200
512,0.4600,1.60,0.0900
512,0.4600,1.78,0.0700
512,0.4600,1.90,0.0700
512,0.4790,1.45,0.0230
512,0.4790,1.68,0.0230
512,0.4790,1.80,0.0230
512,0.4790,2.00,0.0230
512,0.4800,1.50,0.0150
512,0.4800,1.70,0.0900
512,0.5040,1.66,0.0020
512,0.5230,1.90,0.2770
512,0.5300,1.45,0.0230
512,0.5300,1.68,0.0230
512,0.5300,1.80,0.0230
512,0.5300,1.80,0.0700
512,0.5300,2.00,0.0230
512,0.5400,1.64,0.0300
512,0.5400,1.74,0.0450
512,0.5600,1.90,0.0620
512,0.5600,1.92,0.0860
512,0.5800,1.45,0.0230
512,0.5800,1.68,0.0230
512,0.5800,1.80,0.0230
512,0.5800,2.00,0.0230
512,0.6000,1.92,0.0500
512,0.6200,1.52,0.0850
512,0.6200,1.82,0.0450
512,0.6200,1.90,0.0300
512,0.6200,1.92,0.0500
512,0.6400,1.30,0.0230
512,0.6400,1.30,0.0450
512,0.6400,1.30,0.0900
512,0.6400,1.71,0.0230
512,0.6400,1.71,0.0450
512,0.6400,1.71,0.0900
512,0.6400,2.00,0.0230
512,0.6400,2.00,0.0450
512,0.6400,2.00,0.0900
512,0.6800,1.76,0.0750
512,0.7300,1.45,0.0230
512,0.7300,1.68,0.0230
512,0.7300,1.80,0.0230
512,0.7300,2.00,0.0230
512,0.7400,1.64,0.0300
512,0.7800,1.94,0.0400
512,0.8100,1.85,0.0200
512,0.8200,1.54,0.0420
512,0.8200,1.54,0.0460
512,0.8300,1.90,0.0800
512,0.8320,1.30,0.0230
512,0.8320,1.30,0.0230
512,0.8320,1.30,0.0900
512,0.8320,1.68,0.0230
512,0.8320,1.68,0.0230
512,0.8320,1.80,0.0230
512,0.8320,2.00,0.0230
512,0.8400,1.68,0.0350
512,0.8400,1.82,0.0640
64,0.1680,1.68,0.0230
64,0.2350,1.66,0.0020
64,0.3360,1.66,0.0020
64,0.3360,1.68,0.0230
64,0.4300,1.68,0.0230
64,0.4370,1.66,0.0020
64,0.4480,1.71,0.0450
64,0.4800,1.68,0.0230
64,0.5230,1.69,0.0170
64,0.5300,1.68,0.0230
64,0.5800,1.68,0.0230
64,0.6400,1.30,0.0230
64,0.6400,1.68,0.0230
64,0.6400,1.71,0.0450
64,0.7300,1.68,0.0230
64,0.8320,1.68,0.0230
64,0.8320,1.71,0.0450
64,0.9600,1.68,0.0230
64,0.9600,1.68,0.0230
