parameter;Model;N;Xm;nr;ni;Value
maxpol;par;512;0.320;1.71;0.04500;0.9715466477
maxpol;par;512;0.336;1.30;0.00100;0.9940825717
maxpol;par;512;0.336;1.30;0.00220;0.9940857142
maxpol;par;512;0.336;1.30;0.00438;0.9940911007
maxpol;par;512;0.336;1.30;0.02260;0.9941082486
maxpol;par;512;0.336;1.30;0.09000;0.9937427826
maxpol;par;512;0.336;1.66;0.00100;0.9717726226
maxpol;par;512;0.336;1.66;0.00200;0.9717842261
maxpol;par;512;0.336;1.66;0.00220;0.9717864473
maxpol;par;512;0.336;1.66;0.00438;0.9718105351
maxpol;par;512;0.336;1.68;0.00100;0.9702130719
maxpol;par;512;0.336;1.68;0.00438;0.970252307
maxpol;par;512;0.336;1.71;0.02260;0.9680680686
maxpol;par;512;0.336;1.71;0.04500;0.9682373189
maxpol;par;512;0.336;1.71;0.09000;0.9683501741
maxpol;par;512;0.336;2.00;0.00100;0.9435620657
maxpol;par;512;0.336;2.00;0.00220;0.9435839306
maxpol;par;512;0.336;2.00;0.00438;0.9436228027
maxpol;par;512;0.336;2.00;0.02260;0.943922582
maxpol;par;512;0.336;2.00;0.09000;0.9446499939
maxpol;par;512;0.437;1.66;0.00200;0.9488706716
maxpol;par;512;0.448;1.71;0.04500;0.9395246131
maxpol;par;512;0.504;1.71;0.04500;0.9211632699
maxpol;par;512;0.640;1.30;0.00100;0.9743624457
maxpol;par;512;0.640;1.30;0.00438;0.9744477286
maxpol;par;512;0.640;1.30;0.02260;0.9747751901
maxpol;par;512;0.640;1.30;0.04500;0.9748769137
maxpol;par;512;0.640;1.30;0.09000;0.9741549332
maxpol;par;512;0.640;1.68;0.00100;0.8707526541
maxpol;par;512;0.640;1.68;0.00438;0.8711533258
maxpol;par;512;0.640;1.71;0.02260;0.8630043593
maxpol;par;512;0.640;1.71;0.04500;0.8653194502
maxpol;par;512;0.640;1.71;0.09000;0.8688271633
maxpol;par;512;0.640;2.00;0.00438;0.7546235229
maxpol;par;512;0.640;2.00;0.02260;0.7581077078
maxpol;par;512;0.640;2.00;0.04500;0.7620864485
maxpol;par;512;0.640;2.00;0.09000;0.7689124598
maxpol;par;512;0.832;1.71;0.04500;0.7590106999
maxpol;tm;1024;0.168;1.66;0.002;0.9941068
maxpol;tm;1024;0.235;1.66;0.002;0.9881428
maxpol;tm;1024;0.336;1.30;0.001;0.9942476
maxpol;tm;1024;0.336;1.30;0.0438;0.9942528
maxpol;tm;1024;0.336;1.66;0.001;0.9747348
maxpol;tm;1024;0.336;1.66;0.002;0.9747444
maxpol;tm;1024;0.336;1.66;0.00438;0.9745666667
maxpol;tm;1024;0.336;1.71;0.045;0.9747444
maxpol;tm;1024;0.336;2.00;0.001;0.9487942857
maxpol;tm;1024;0.336;2.00;0.0438;0.94789125
maxpol;tm;1024;0.640;1.30;0.0226;0.9762640909
maxpol;tm;1024;0.640;1.30;0.09;0.9760418182
maxpol;tm;1024;0.640;1.71;0.0226;0.87738
maxpol;tm;1024;0.640;1.71;0.045;0.876275
maxpol;tm;1024;0.640;2.00;0.0226;0.778948
maxpol;tm;1024;0.640;2.00;0.045;0.7904033333
maxpol;tm;128;0.168;1.66;0.002;0.995966087
maxpol;tm;128;0.235;1.66;0.002;0.9913852
maxpol;tm;128;0.32;1.71;0.045;0.980204
maxpol;tm;128;0.336;1.66;0.002;0.9804944
maxpol;tm;128;0.437;1.66;0.002;0.9660316
maxpol;tm;128;0.448;1.71;0.045;0.9593428
maxpol;tm;128;0.504;1.66;0.002;0.9526283333
maxpol;tm;128;0.73;1.71;0.069;0.8756724
maxpol;tm;128;0.832;1.71;0.045;0.82851
maxpol;tm;128;0.96;1.71;0.045;0.7624357143
maxpol;tm;128;0.336;1.30;0.001;0.9956531818
maxpol;tm;128;0.336;1.30;0.0438;0.9956545455
maxpol;tm;128;0.336;1.30;0.0226;0.9956068
maxpol;tm;128;0.336;1.30;0.09;0.99529
maxpol;tm;128;0.336;1.68;0.001;0.9796068182
maxpol;tm;128;0.336;1.68;0.00438;0.9796177273
maxpol;tm;128;0.336;2.00;0.001;0.9602013636
maxpol;tm;128;0.336;2.00;0.0438;0.9602231818
maxpol;tm;128;0.336;2.00;0.0226;0.9599644
maxpol;tm;128;0.336;2.00;0.09;0.9600772
maxpol;tm;128;0.640;1.30;0.001;0.9825476
maxpol;tm;128;0.640;1.30;0.0438;0.9823605882
maxpol;tm;128;0.640;1.30;0.0226;0.9826524
maxpol;tm;128;0.640;1.30;0.09;0.982014
maxpol;tm;128;0.640;1.68;0.001;0.9120596
maxpol;tm;128;0.640;1.68;0.00438;0.9122568
maxpol;tm;128;0.640;1.71;0.045;0.905876
maxpol;tm;128;0.640;2.00;0.001;0.82168952380952387
maxpol;tm;128;0.640;2.00;0.0438;0.82239375
maxpol;tm;128;0.640;2.00;0.0226;0.82368869565217384
maxpol;tm;128;0.640;2.00;0.09;0.8274266667
maxpol;tm;256;0.168;1.66;0.002;0.9956873333
maxpol;tm;256;0.235;1.66;0.002;0.9905992
maxpol;tm;256;0.32;1.71;0.045;0.9778584
maxpol;tm;256;0.437;1.66;0.002;0.9591488
maxpol;tm;256;0.448;1.71;0.045;0.951246
maxpol;tm;256;0.504;1.71;0.045;0.939102
maxpol;tm;256;0.832;1.71;0.045;0.81103
maxpol;tm;256;0.336;1.30;0.001;0.9952575
maxpol;tm;256;0.336;1.30;0.0438;0.9952591667
maxpol;tm;256;0.336;1.30;0.0226;0.9952431579
maxpol;tm;256;0.336;1.30;0.09;0.9948753333
maxpol;tm;256;0.336;1.66;0.002;0.97805
maxpol;tm;256;0.336;1.68;0.001;0.9774625
maxpol;tm;256;0.336;1.68;0.00438;0.977475
maxpol;tm;256;0.336;2.00;0.001;0.95787
maxpol;tm;256;0.336;2.00;0.0438;0.9551845455
maxpol;tm;256;0.336;2.00;0.0226;0.9562653846
maxpol;tm;256;0.336;2.00;0.09;0.9564327586
maxpol;tm;256;0.640;1.30;0.001;0.9810545455
maxpol;tm;256;0.640;1.30;0.0438;0.9810459091
maxpol;tm;256;0.640;1.30;0.0226;0.98116
maxpol;tm;256;0.640;1.68;0.001;0.9057922727
maxpol;tm;256;0.640;1.68;0.00438;0.9060290909
maxpol;tm;256;0.640;1.71;0.045;0.8991941667
maxpol;tm;256;0.640;2.00;0.001;0.8148825
maxpol;tm;256;0.640;2.00;0.0438;0.8130952632
maxpol;tm;256;0.96;1.30;0.006;0.9499296
maxpol;tm;256;0.96;1.30;0.0226;0.9509008
maxpol;tm;256;0.96;1.30;0.09;0.9516656
maxpol;tm;256;0.96;1.30;0.3;0.9331004
maxpol;tm;256;0.96;1.71;0.045;0.75162958333333318
maxpol;tm;256;0.96;2.00;0.006;0.2801885
maxpol;tm;512;0.168;1.66;0.002;0.9947248
maxpol;tm;512;0.235;1.66;0.002;0.9894428
maxpol;tm;512;0.32;1.71;0.045;0.9762104
maxpol;tm;512;0.437;1.66;0.002;0.9585842857
maxpol;tm;512;0.448;1.71;0.045;0.9502704
maxpol;tm;512;0.504;1.66;0.002;0.94277125
maxpol;tm;512;0.73;1.71;0.002;0.8473
maxpol;tm;512;0.336;1.30;0.001;0.9946652
maxpol;tm;512;0.336;1.30;0.0438;0.9946696
maxpol;tm;512;0.336;1.30;0.0226;0.9946648
maxpol;tm;512;0.336;1.30;0.09;0.99431
maxpol;tm;512;0.336;1.66;0.002;0.9763092
maxpol;tm;512;0.336;1.68;0.001;0.97627
maxpol;tm;512;0.336;1.68;0.00438;0.9754683333
maxpol;tm;512;0.336;2.00;0.0226;0.9515276
maxpol;tm;512;0.336;2.00;0.09;0.9518536
maxpol;tm;512;0.640;1.30;0.0226;0.9792852
maxpol;tm;512;0.640;1.30;0.045;0.9793264
maxpol;tm;512;0.640;1.30;0.09;0.978748
maxpol;tm;512;0.640;1.71;0.0226;0.89066125
maxpol;tm;512;0.640;1.71;0.09;0.8927532
maxpol;tm;512;0.640;1.71;0.045;0.8901084
maxpol;tm;512;0.640;2.00;0.0226;0.79489619047619053
maxpol;tm;512;0.640;2.00;0.045;0.79785749999999989
maxpol;tm;512;0.640;2.00;0.09;0.8008705263
Qa;par;1024;0.168;1.66;0.00200;0.0070224
Qa;par;1024;0.235;1.66;0.00200;0.0102535
Qa;par;1024;0.320;1.71;0.04500;0.3189366
Qa;par;1024;0.336;1.30;0.00100;0.0086956
Qa;par;1024;0.336;1.30;0.00220;0.0191165
Qa;par;1024;0.336;1.30;0.00438;0.0380095
Qa;par;1024;0.336;1.30;0.02260;0.1940442
Qa;par;1024;0.336;1.30;0.09000;0.7456802
Qa;par;1024;0.336;1.66;0.00100;0.0078122
Qa;par;1024;0.336;1.66;0.00200;0.0156168
Qa;par;1024;0.336;1.66;0.00220;0.0171769
Qa;par;1024;0.336;1.66;0.00438;0.0341617
Qa;par;1024;0.336;1.68;0.00100;0.0077535
Qa;par;1024;0.336;1.68;0.00438;0.0339058
Qa;par;1024;0.336;1.71;0.02260;0.1714992
Qa;par;1024;0.336;1.71;0.04500;0.3395296
Qa;par;1024;0.336;1.71;0.09000;0.6630606
Qa;par;1024;0.336;2.00;0.00100;0.0067693
Qa;par;1024;0.336;2.00;0.00220;0.0148857
Qa;par;1024;0.336;2.00;0.00438;0.0296117
Qa;par;1024;0.437;1.66;0.00200;0.0216148
Qa;par;1024;0.448;1.71;0.04500;0.4807944
Qa;par;1024;0.504;1.71;0.04500;0.5580228
Qa;par;1024;0.640;1.30;0.00100;0.0180363
Qa;par;1024;0.640;1.30;0.00438;0.0786356
Qa;par;1024;0.640;1.30;0.02260;0.3959255
Qa;par;1024;0.640;1.30;0.04500;0.768802
Qa;par;1024;0.640;1.30;0.09000;1.4476268
Qa;par;1024;0.640;1.68;0.00100;0.0178561
Qa;par;1024;0.640;1.68;0.00438;0.0778959
Qa;par;1024;0.640;1.71;0.02260;0.3921995
Qa;par;1024;0.640;1.71;0.04500;0.7643244
Qa;par;1024;0.640;1.71;0.09000;1.4475105
Qa;par;1024;0.640;2.00;0.00438;0.0745448
Qa;par;1024;0.640;2.00;0.02260;0.3775126
Qa;par;1024;0.640;2.00;0.04500;0.7378776
Qa;par;1024;0.640;2.00;0.09000;1.4048882
Qa;par;1024;0.832;1.71;0.04500;1.0780594
Qa;par;128;0.168;1.66;0.00200;0.0086956
Qa;par;128;0.235;1.66;0.00200;0.0051277
Qa;par;128;0.320;1.71;0.04500;0.1603605
Qa;par;128;0.336;1.30;0.00100;0.0043485
Qa;par;128;0.336;1.30;0.00438;0.0190189
Qa;par;128;0.336;1.66;0.00200;0.0078105
Qa;par;128;0.336;1.68;0.00100;0.0038773
Qa;par;128;0.336;1.68;0.00438;0.0169628
Qa;par;128;0.336;2.00;0.00100;0.003385
Qa;par;128;0.336;2.00;0.00438;0.0148128
Qa;par;128;0.437;1.66;0.00200;0.0108114
Qa;par;128;0.448;1.71;0.04500;0.2424137
Qa;par;128;0.504;1.71;0.04500;0.2817383
Qa;par;128;0.640;1.30;0.00100;0.0090213
Qa;par;128;0.640;1.30;0.00438;0.039378
Qa;par;128;0.640;1.68;0.00100;0.0089308
Qa;par;128;0.640;1.68;0.00438;0.0390003
Qa;par;128;0.640;2.00;0.00438;0.0373163
Qa;par;128;0.832;1.71;0.04500;0.5500425
Qa;par;256;0.168;1.66;0.00200;0.0044242
Qa;par;256;0.235;1.66;0.00200;0.0064601
Qa;par;256;0.320;1.71;0.04500;0.2016579
Qa;par;256;0.336;1.30;0.00100;0.0054785
Qa;par;256;0.336;1.30;0.00438;0.0239562
Qa;par;256;0.336;1.66;0.00200;0.0098398
Qa;par;256;0.336;1.68;0.00100;0.0048848
Qa;par;256;0.336;1.68;0.00438;0.0213676
Qa;par;256;0.336;2.00;0.00100;0.0042647
Qa;par;256;0.336;2.00;0.00438;0.0186599
Qa;par;256;0.437;1.66;0.00200;0.0136198
Qa;par;256;0.448;1.71;0.04500;0.3045544
Qa;par;256;0.504;1.71;0.04500;0.3537941
Qa;par;256;0.640;1.30;0.00100;0.0113648
Qa;par;256;0.640;1.30;0.00438;0.0495873
Qa;par;256;0.640;1.68;0.00100;0.0112509
Qa;par;256;0.640;1.68;0.00438;0.0491148
Qa;par;256;0.640;2.00;0.00438;0.0469968
Qa;par;256;0.832;1.71;0.04500;0.6882536
Qa;par;512;0.168;1.66;0.00200;0.0055739
Qa;par;512;0.235;1.66;0.00200;0.0081387
Qa;par;512;0.320;1.71;0.04500;0.2536024
Qa;par;512;0.336;1.30;0.00100;0.0069021
Qa;par;512;0.336;1.30;0.00220;0.0151746
Qa;par;512;0.336;1.30;0.00438;0.0301755
Qa;par;512;0.336;1.30;0.02260;0.1542059
Qa;par;512;0.336;1.30;0.09000;0.5948004
Qa;par;512;0.336;1.66;0.00100;0.0062008
Qa;par;512;0.336;1.66;0.00200;0.0123962
Qa;par;512;0.336;1.66;0.00220;0.0136346
Qa;par;512;0.336;1.66;0.00438;0.0271195
Qa;par;512;0.336;1.68;0.00100;0.0061542
Qa;par;512;0.336;1.68;0.00438;0.0269162
Qa;par;512;0.336;1.71;0.02260;0.1362512
Qa;par;512;0.336;1.71;0.04500;0.2700079
Qa;par;512;0.336;1.71;0.09000;0.5283047
Qa;par;512;0.336;2.00;0.00100;0.005373
Qa;par;512;0.336;2.00;0.00220;0.0118157
Qa;par;512;0.336;2.00;0.00438;0.0235064
Qa;par;512;0.336;2.00;0.02260;0.1205365
Qa;par;512;0.336;2.00;0.09000;0.4694062
Qa;par;512;0.437;1.66;0.00200;0.0171578
Qa;par;512;0.448;1.71;0.04500;0.382651
Qa;par;512;0.504;1.71;0.04500;0.4443145
Qa;par;512;0.640;1.30;0.00100;0.0143171
Qa;par;512;0.640;1.30;0.00438;0.0624443
Qa;par;512;0.640;1.30;0.02260;0.3150564
Qa;par;512;0.640;1.30;0.04500;0.613336
Qa;par;512;0.640;1.30;0.09000;1.1606841
Qa;par;512;0.640;1.68;0.00100;0.0141738
Qa;par;512;0.640;1.68;0.00438;0.0618532
Qa;par;512;0.640;1.71;0.02260;0.3119847
Qa;par;512;0.640;1.71;0.04500;0.6093499
Qa;par;512;0.640;1.71;0.09000;1.1590439
Qa;par;512;0.640;2.00;0.00438;0.0591891
Qa;par;512;0.640;2.00;0.02260;0.3002264
Qa;par;512;0.640;2.00;0.04500;0.5879731
Qa;par;512;0.640;2.00;0.09000;1.1238184
Qa;par;512;0.832;1.71;0.04500;0.8613371
Qa;tm;1024;0.168;1.66;0.002;0.007714472
Qa;tm;1024;0.235;1.66;0.002;0.01127156
Qa;tm;1024;0.336;1.30;0.001;0.00868094
Qa;tm;1024;0.336;1.30;0.0438;0.03795452
Qa;tm;1024;0.336;1.66;0.001;0.007870656
Qa;tm;1024;0.336;1.66;0.002;0.0172326
Qa;tm;1024;0.336;1.66;0.00438;0.034428
Qa;tm;1024;0.336;1.71;0.045;0.0172326
Qa;tm;1024;0.336;2.00;0.001;0.0070451357
Qa;tm;1024;0.336;2.00;0.0438;0.030827875
Qa;tm;1024;0.640;1.30;0.0226;0.3947813636
Qa;tm;1024;0.640;1.30;0.09;1.4271272727
Qa;tm;1024;0.640;1.71;0.0226;0.39838
Qa;tm;1024;0.640;1.71;0.045;0.7775925
Qa;tm;1024;0.640;2.00;0.0226;0.400296
Qa;tm;1024;0.640;2.00;0.045;0.77058
Qa;tm;128;0.168;1.66;0.002;0.0038435609
Qa;tm;128;0.235;1.66;0.002;0.00559304
Qa;tm;128;0.32;1.71;0.045;0.1615916
Qa;tm;128;0.336;1.66;0.002;0.008604912
Qa;tm;128;0.437;1.66;0.002;0.01193736
Qa;tm;128;0.448;1.71;0.045;0.2453732
Qa;tm;128;0.504;1.66;0.002;0.0144687083
Qa;tm;128;0.73;1.71;0.069;0.6945516
Qa;tm;128;0.832;1.71;0.045;0.56272375
Qa;tm;128;0.96;1.71;0.045;0.6829657143
Qa;tm;128;0.336;1.30;0.001;0.0043263909
Qa;tm;128;0.336;1.30;0.0438;0.0189418636
Qa;tm;128;0.336;1.30;0.0226;0.09703604
Qa;tm;128;0.336;1.30;0.09;0.3760368
Qa;tm;128;0.336;1.68;0.001;0.0038797273
Qa;tm;128;0.336;1.68;0.00438;0.0170180455
Qa;tm;128;0.336;2.00;0.001;0.0034808818
Qa;tm;128;0.336;2.00;0.0438;0.0152880909
Qa;tm;128;0.336;2.00;0.0226;0.07849896
Qa;tm;128;0.336;2.00;0.09;0.305376
Qa;tm;128;0.640;1.30;0.001;0.009004984
Qa;tm;128;0.640;1.30;0.0438;0.0393513529
Qa;tm;128;0.640;1.30;0.0226;0.1988004
Qa;tm;128;0.640;1.30;0.09;0.7344572
Qa;tm;128;0.640;1.68;0.001;0.009127092
Qa;tm;128;0.640;1.68;0.00438;0.03981312
Qa;tm;128;0.640;1.71;0.045;0.3948152
Qa;tm;128;0.640;2.00;0.001;0.0091462571428571424
Qa;tm;128;0.640;2.00;0.0438;0.039887791666666665
Qa;tm;128;0.640;2.00;0.0226;0.20129086956521738
Qa;tm;128;0.640;2.00;0.09;0.7515547619
Qa;tm;256;0.168;1.66;0.002;0.00484036
Qa;tm;256;0.235;1.66;0.002;0.0070651
Qa;tm;256;0.32;1.71;0.045;0.2035752
Qa;tm;256;0.437;1.66;0.002;0.01506868
Qa;tm;256;0.448;1.71;0.045;0.3085068
Qa;tm;256;0.504;1.71;0.045;0.3585888
Qa;tm;256;0.832;1.71;0.045;0.7026141667
Qa;tm;256;0.336;1.30;0.001;0.0054576667
Qa;tm;256;0.336;1.30;0.0438;0.02387975
Qa;tm;256;0.336;1.30;0.0226;0.1222078947
Qa;tm;256;0.336;1.30;0.09;0.471592
Qa;tm;256;0.336;1.66;0.002;0.01082328
Qa;tm;256;0.336;1.68;0.001;0.0049025083
Qa;tm;256;0.336;1.68;0.00438;0.02147825
Qa;tm;256;0.336;2.00;0.001;0.0044118571
Qa;tm;256;0.336;2.00;0.0438;0.0193177273
Qa;tm;256;0.336;2.00;0.0226;0.098993
Qa;tm;256;0.336;2.00;0.09;0.3839262069
Qa;tm;256;0.640;1.30;0.001;0.0113475455
Qa;tm;256;0.640;1.30;0.0438;0.0495620909
Qa;tm;256;0.640;1.30;0.0226;0.2500333333
Qa;tm;256;0.640;1.68;0.001;0.0115000455
Qa;tm;256;0.640;1.68;0.00438;0.0501450455
Qa;tm;256;0.640;1.71;0.045;0.49464625
Qa;tm;256;0.640;2.00;0.001;0.0115178333
Qa;tm;256;0.640;2.00;0.0438;0.0502313684
Qa;tm;256;0.96;1.30;0.006;0.1094736
Qa;tm;256;0.96;1.30;0.0226;0.396432
Qa;tm;256;0.96;1.30;0.09;1.361576
Qa;tm;256;0.96;1.30;0.3;3.132972
Qa;tm;256;0.96;1.71;0.045;0.85098
Qa;tm;256;0.96;2.00;0.006;0.13762
Qa;tm;512;0.168;1.66;0.002;0.006108632
Qa;tm;512;0.235;1.66;0.002;0.008922328
Qa;tm;512;0.32;1.71;0.045;0.2564632
Qa;tm;512;0.437;1.66;0.002;0.0190022381
Qa;tm;512;0.448;1.71;0.045;0.3881232
Qa;tm;512;0.504;1.66;0.002;0.022898375
Qa;tm;512;0.73;1.71;0.002;0.02973
Qa;tm;512;0.336;1.30;0.001;0.006885128
Qa;tm;512;0.336;1.30;0.0438;0.03011312
Qa;tm;512;0.336;1.30;0.0226;0.1539032
Qa;tm;512;0.336;1.30;0.09;0.592036
Qa;tm;512;0.336;1.66;0.002;0.01365788
Qa;tm;512;0.336;1.68;0.001;0.00618534
Qa;tm;512;0.336;1.68;0.00438;0.0271139583
Qa;tm;512;0.336;2.00;0.0226;0.1249824
Qa;tm;512;0.336;2.00;0.09;0.4832404
Qa;tm;512;0.640;1.30;0.0226;0.3141988
Qa;tm;512;0.640;1.30;0.045;0.6069792
Qa;tm;512;0.640;1.30;0.09;1.145008
Qa;tm;512;0.640;1.71;0.0226;0.3179075
Qa;tm;512;0.640;1.71;0.09;1.164056
Qa;tm;512;0.640;1.71;0.045;0.6215848
Qa;tm;512;0.640;2.00;0.0226;0.31861190476190476
Qa;tm;512;0.640;2.00;0.045;0.6144315
Qa;tm;512;0.640;2.00;0.09;1.1733526316
Qe;par;1024;0.168;1.66;0.00200;0.1940721
Qe;par;1024;0.235;1.66;0.00200;0.4533054
Qe;par;1024;0.320;1.71;0.04500;1.418766
Qe;par;1024;0.336;1.30;0.00100;0.2528992
Qe;par;1024;0.336;1.30;0.00220;0.2631548
Qe;par;1024;0.336;1.30;0.00438;0.2817698
Qe;par;1024;0.336;1.30;0.02260;0.4365761
Qe;par;1024;0.336;1.30;0.09000;0.9999366
Qe;par;1024;0.336;1.66;0.00100;1.1174707
Qe;par;1024;0.336;1.66;0.00200;1.1247478
Qe;par;1024;0.336;1.66;0.00220;1.1262033
Qe;par;1024;0.336;1.66;0.00438;1.1420643
Qe;par;1024;0.336;1.68;0.00100;1.1789191
Qe;par;1024;0.336;1.68;0.00438;1.203241
Qe;par;1024;0.336;1.71;0.02260;1.4256617
Qe;par;1024;0.336;1.71;0.04500;1.5849321
Qe;par;1024;0.336;1.71;0.09000;1.8997543
Qe;par;1024;0.336;2.00;0.00100;2.2703345
Qe;par;1024;0.336;2.00;0.00220;2.2774308
Qe;par;1024;0.336;2.00;0.00438;2.2903228
Qe;par;1024;0.437;1.66;0.00200;2.1841831
Qe;par;1024;0.448;1.71;0.04500;3.0512276
Qe;par;1024;0.504;1.71;0.04500;3.9925971
Qe;par;1024;0.640;1.30;0.00100;1.1817106
Qe;par;1024;0.640;1.30;0.00438;1.2371867
Qe;par;1024;0.640;1.30;0.02260;1.5326297
Qe;par;1024;0.640;1.30;0.04500;1.8912158
Qe;par;1024;0.640;1.30;0.09000;2.5794044
Qe;par;1024;0.640;1.68;0.00100;5.8636093
Qe;par;1024;0.640;1.68;0.00438;5.9005079
Qe;par;1024;0.640;1.71;0.02260;6.575696
Qe;par;1024;0.640;1.71;0.04500;6.8080649
Qe;par;1024;0.640;1.71;0.09000;7.2641935
Qe;par;1024;0.640;2.00;0.00438;11.6440554
Qe;par;1024;0.640;2.00;0.02260;11.7398338
Qe;par;1024;0.640;2.00;0.04500;11.8604498
Qe;par;1024;0.640;2.00;0.09000;12.1050167
Qe;par;1024;0.832;1.71;0.04500;11.4882212
Qe;par;128;0.168;1.66;0.00200;0.2528992
Qe;par;128;0.235;1.66;0.00200;0.1478713
Qe;par;128;0.320;1.71;0.04500;0.5405501
Qe;par;128;0.336;1.30;0.00100;0.0889719
Qe;par;128;0.336;1.30;0.00438;0.1035369
Qe;par;128;0.336;1.66;0.00200;0.3925102
Qe;par;128;0.336;1.68;0.00100;0.4100591
Qe;par;128;0.336;1.68;0.00438;0.4226936
Qe;par;128;0.336;2.00;0.00100;0.7890562
Qe;par;128;0.336;2.00;0.00438;0.7997768
Qe;par;128;0.437;1.66;0.00200;0.7930884
Qe;par;128;0.448;1.71;0.04500;1.1834526
Qe;par;128;0.504;1.71;0.04500;1.5622336
Qe;par;128;0.640;1.30;0.00100;0.448996
Qe;par;128;0.640;1.30;0.00438;0.4779308
Qe;par;128;0.640;1.68;0.00100;2.2445416
Qe;par;128;0.640;1.68;0.00438;2.2680414
Qe;par;128;0.640;2.00;0.00438;4.5231714
Qe;par;128;0.832;1.71;0.04500;4.8431954
Qe;par;256;0.168;1.66;0.00200;0.0901267
Qe;par;256;0.235;1.66;0.00200;0.2203125
Qe;par;256;0.320;1.71;0.04500;0.7546166
Qe;par;256;0.336;1.30;0.00100;0.1283617
Qe;par;256;0.336;1.30;0.00438;0.1466626
Qe;par;256;0.336;1.66;0.00200;0.5682969
Qe;par;256;0.336;1.68;0.00100;0.5945442
Qe;par;256;0.336;1.68;0.00438;0.6102813
Qe;par;256;0.336;2.00;0.00100;1.1445384
Qe;par;256;0.336;2.00;0.00438;1.1577674
Qe;par;256;0.437;1.66;0.00200;1.1292728
Qe;par;256;0.448;1.71;0.04500;1.6408083
Qe;par;256;0.504;1.71;0.04500;2.1586795
Qe;par;256;0.640;1.30;0.00100;0.6273068
Qe;par;256;0.640;1.30;0.00438;0.6632933
Qe;par;256;0.640;1.68;0.00100;3.1288779
Qe;par;256;0.640;1.68;0.00438;3.1564982
Qe;par;256;0.640;2.00;0.00438;6.2735991
Qe;par;256;0.832;1.71;0.04500;6.5133238
Qe;par;512;0.168;1.66;0.00200;0.1339979
Qe;par;512;0.235;1.66;0.00200;0.3192175
Qe;par;512;0.320;1.71;0.04500;1.0397618
Qe;par;512;0.336;1.30;0.00100;0.1814811
Qe;par;512;0.336;1.30;0.00220;0.1896471
Qe;par;512;0.336;1.30;0.00438;0.2044702
Qe;par;512;0.336;1.30;0.02260;0.3277975
Qe;par;512;0.336;1.30;0.09000;0.7774652
Qe;par;512;0.336;1.66;0.00100;0.7996939
Qe;par;512;0.336;1.66;0.00200;0.8055473
Qe;par;512;0.336;1.66;0.00220;0.8067179
Qe;par;512;0.336;1.66;0.00438;0.8194762
Qe;par;512;0.336;1.68;0.00100;0.8436441
Qe;par;512;0.336;1.68;0.00438;0.8632212
Qe;par;512;0.336;1.71;0.02260;1.0339468
Qe;par;512;0.336;1.71;0.04500;1.1622988
Qe;par;512;0.336;1.71;0.09000;1.416063
Qe;par;512;0.336;2.00;0.00100;1.6244674
Qe;par;512;0.336;2.00;0.00220;1.6302488
Qe;par;512;0.336;2.00;0.00438;1.6407503
Qe;par;512;0.336;2.00;0.02260;1.7285756
Qe;par;512;0.336;2.00;0.09000;2.0544159
Qe;par;512;0.437;1.66;0.00200;1.5802916
Qe;par;512;0.448;1.71;0.04500;2.2474697
Qe;par;512;0.504;1.71;0.04500;2.9483049
Qe;par;512;0.640;1.30;0.00100;0.8650782
Qe;par;512;0.640;1.30;0.00438;0.9097859
Qe;par;512;0.640;1.30;0.02260;1.1481434
Qe;par;512;0.640;1.30;0.04500;1.43806
Qe;par;512;0.640;1.30;0.09000;1.9965078
Qe;par;512;0.640;1.68;0.00100;4.3040075
Qe;par;512;0.640;1.68;0.00438;4.3361359
Qe;par;512;0.640;1.71;0.02260;4.8609529
Qe;par;512;0.640;1.71;0.04500;5.0653367
Qe;par;512;0.640;1.71;0.09000;5.4664073
Qe;par;512;0.640;2.00;0.00438;8.5877905
Qe;par;512;0.640;2.00;0.02260;8.6892729
Qe;par;512;0.640;2.00;0.04500;8.8160362
Qe;par;512;0.640;2.00;0.09000;9.0700226
Qe;par;512;0.832;1.71;0.04500;8.6798563
Qe;tm;1024;0.168;1.66;0.002;0.195486
Qe;tm;1024;0.235;1.66;0.002;0.4503552
Qe;tm;1024;0.336;1.30;0.001;0.2531724
Qe;tm;1024;0.336;1.30;0.0438;0.2818284
Qe;tm;1024;0.336;1.66;0.001;1.0856196
Qe;tm;1024;0.336;1.66;0.002;1.0940524
Qe;tm;1024;0.336;1.66;0.00438;1.1043166667
Qe;tm;1024;0.336;1.71;0.045;1.0940524
Qe;tm;1024;0.336;2.00;0.001;2.2261785714
Qe;tm;1024;0.336;2.00;0.0438;2.2375291667
Qe;tm;1024;0.640;1.30;0.0226;1.5074772727
Qe;tm;1024;0.640;1.30;0.09;2.4796363636
Qe;tm;1024;0.640;1.71;0.0226;6.0531
Qe;tm;1024;0.640;1.71;0.045;6.051575
Qe;tm;1024;0.640;2.00;0.0226;9.41481
Qe;tm;1024;0.640;2.00;0.045;9.4321
Qe;tm;128;0.168;1.66;0.002;0.059875
Qe;tm;128;0.235;1.66;0.002;0.1484532
Qe;tm;128;0.32;1.71;0.045;0.536074
Qe;tm;128;0.336;1.66;0.002;0.3890664
Qe;tm;128;0.437;1.66;0.002;0.7817744
Qe;tm;128;0.448;1.71;0.045;1.15756
Qe;tm;128;0.504;1.66;0.002;1.1400958333
Qe;tm;128;0.73;1.71;0.069;3.566332
