parameter;Model;N;Xm;nr;ni;Value
back;tm;1024;0.336;2.00;0.0438;0.2078475
back;tm;1024;0.640;1.30;0.0226;0.1579704545
back;tm;1024;0.640;1.30;0.09;0.1508163636
back;tm;1024;0.640;1.71;0.0226;0.17738
back;tm;1024;0.640;1.71;0.045;0.19287125
back;tm;1024;0.640;2.00;0.0226;0.24716400000000002
back;tm;1024;0.640;2.00;0.045;0.2289
back;tm;128;0.168;1.66;0.002;0.4142165217
back;tm;128;0.235;1.66;0.002;0.3326936
back;tm;128;0.32;1.71;0.045;0.2911656
back;tm;128;0.336;1.66;0.002;0.2870772
back;tm;128;0.437;1.66;0.002;0.2563712
back;tm;128;0.448;1.71;0.045;0.2512524
back;tm;128;0.504;1.66;0.002;0.24490875
back;tm;128;0.73;1.71;0.069;0.2253924
back;tm;128;0.832;1.71;0.045;0.23352375
back;tm;128;0.96;1.71;0.045;0.2274557143
back;tm;128;0.336;1.30;0.001;0.2791663636
back;tm;128;0.336;1.30;0.0438;0.2789890909
back;tm;128;0.336;1.30;0.0226;0.2802676
back;tm;128;0.336;1.30;0.09;0.2769672
back;tm;128;0.336;1.68;0.001;0.2850995455
back;tm;128;0.336;1.68;0.00438;0.2849172727
back;tm;128;0.336;2.00;0.001;0.2929377273
back;tm;128;0.336;2.00;0.0438;0.2927536364
back;tm;128;0.336;2.00;0.0226;0.2944096
back;tm;128;0.336;2.00;0.09;0.290992
back;tm;128;0.640;1.30;0.001;0.2094112
back;tm;128;0.640;1.30;0.0438;0.2092329412
back;tm;128;0.640;1.30;0.0226;0.206868
back;tm;128;0.640;1.30;0.09;0.2000476
back;tm;128;0.640;1.68;0.001;0.2346276
back;tm;128;0.640;1.68;0.00438;0.2339608
back;tm;128;0.640;1.71;0.045;0.2299908
back;tm;128;0.640;2.00;0.001;0.26787571428571433
back;tm;128;0.640;2.00;0.0438;0.26813375000000006
back;tm;128;0.640;2.00;0.0226;0.26193913043478267
back;tm;128;0.640;2.00;0.09;0.2494071429
back;tm;256;0.168;1.66;0.002;0.331084
back;tm;256;0.235;1.66;0.002;0.264234
back;tm;256;0.32;1.71;0.045;0.2361576
back;tm;256;0.437;1.66;0.002;0.2321868
back;tm;256;0.448;1.71;0.045;0.2301112
back;tm;256;0.504;1.71;0.045;0.217642
back;tm;256;0.832;1.71;0.045;0.2316920833
back;tm;256;0.336;1.30;0.001;0.2262375
back;tm;256;0.336;1.30;0.0438;0.2260775
back;tm;256;0.336;1.30;0.0226;0.2297321053
back;tm;256;0.336;1.30;0.09;0.2217453333
back;tm;256;0.336;1.66;0.002;0.2376524
back;tm;256;0.336;1.68;0.001;0.2357116667
back;tm;256;0.336;1.68;0.00438;0.2355375
back;tm;256;0.336;2.00;0.001;0.2476557143
back;tm;256;0.336;2.00;0.0438;0.2477472727
back;tm;256;0.336;2.00;0.0226;0.2420007692
back;tm;256;0.336;2.00;0.09;0.242882069
back;tm;256;0.640;1.30;0.001;0.1911818182
back;tm;256;0.640;1.30;0.0438;0.1907922727
back;tm;256;0.640;1.30;0.0226;0.1864166667
back;tm;256;0.640;1.68;0.001;0.2234390909
back;tm;256;0.640;1.68;0.00438;0.2226622727
back;tm;256;0.640;1.71;0.045;0.21488
back;tm;256;0.640;2.00;0.001;0.266055
back;tm;256;0.640;2.00;0.0438;0.2628389474
back;tm;256;0.96;1.30;0.006;0.1750792
back;tm;256;0.96;1.30;0.0226;0.1705928
back;tm;256;0.96;1.30;0.09;0.1572732
back;tm;256;0.96;1.30;0.3;0.1440088
back;tm;256;0.96;1.71;0.045;0.23492833333333332
back;tm;256;0.96;2.00;0.006;0.988605
back;tm;512;0.168;1.66;0.002;0.2793928
back;tm;512;0.235;1.66;0.002;0.2379096
back;tm;512;0.32;1.71;0.045;0.2252804
back;tm;512;0.437;1.66;0.002;0.2155895238
back;tm;512;0.448;1.71;0.045;0.2126116
back;tm;512;0.504;1.66;0.002;0.2065033333
back;tm;512;0.73;1.71;0.002;0.24057
back;tm;512;0.336;1.30;0.001;0.2135204
back;tm;512;0.336;1.30;0.0438;0.2133316
back;tm;512;0.336;1.30;0.0226;0.2123336
back;tm;512;0.336;1.30;0.09;0.2089464
back;tm;512;0.336;1.66;0.002;0.221818
back;tm;512;0.336;1.68;0.001;0.21192
back;tm;512;0.336;1.68;0.00438;0.22429
back;tm;512;0.336;2.00;0.0226;0.2318684
back;tm;512;0.336;2.00;0.09;0.2279108
back;tm;512;0.640;1.30;0.0226;0.1735964
back;tm;512;0.640;1.30;0.045;0.1709636
back;tm;512;0.640;1.30;0.09;0.1665084
back;tm;512;0.640;1.71;0.0226;0.21175375
back;tm;512;0.640;1.71;0.09;0.2003724
back;tm;512;0.640;1.71;0.045;0.2091612
back;tm;512;0.640;2.00;0.0226;0.25625523809523815
back;tm;512;0.640;2.00;0.045;0.24966799999999995
back;tm;512;0.640;2.00;0.09;0.2386063158
frwd;par;1024;0.168;1.66;0.00200;27.1140137
frwd;par;1024;0.235;1.66;0.00200;45.8048553
frwd;par;1024;0.320;1.71;0.04500;74.9638443
frwd;par;1024;0.336;1.30;0.00100;81.2879639
frwd;par;1024;0.336;1.30;0.00220;81.2880173
frwd;par;1024;0.336;1.30;0.00438;81.2880402
frwd;par;1024;0.336;1.30;0.02260;81.2878342
frwd;par;1024;0.336;1.30;0.09000;81.2807007
frwd;par;1024;0.336;1.66;0.00100;81.1495209
frwd;par;1024;0.336;1.66;0.00200;81.1495361
frwd;par;1024;0.336;1.66;0.00220;81.1495209
frwd;par;1024;0.336;1.66;0.00438;81.1495972
frwd;par;1024;0.336;1.68;0.00100;81.1408081
frwd;par;1024;0.336;1.68;0.00438;81.1408844
frwd;par;1024;0.336;1.71;0.02260;81.1278
frwd;par;1024;0.336;1.71;0.04500;81.1268768
frwd;par;1024;0.336;1.71;0.09000;81.1222916
frwd;par;1024;0.336;2.00;0.00100;81.0139313
frwd;par;1024;0.336;2.00;0.00220;81.0139465
frwd;par;1024;0.336;2.00;0.00438;81.0139923
frwd;par;1024;0.437;1.66;0.00200;125.0543213
frwd;par;1024;0.448;1.71;0.04500;130.2905121
frwd;par;1024;0.504;1.71;0.04500;158.7559052
frwd;par;1024;0.640;1.30;0.00100;239.0428009
frwd;par;1024;0.640;1.30;0.00438;239.0456696
frwd;par;1024;0.640;1.30;0.02260;239.0570679
frwd;par;1024;0.640;1.30;0.04500;239.0630035
frwd;par;1024;0.640;1.30;0.09000;239.0481567
frwd;par;1024;0.640;1.68;0.00100;237.6682739
frwd;par;1024;0.640;1.68;0.00438;237.6717072
frwd;par;1024;0.640;1.71;0.02260;237.5813751
frwd;par;1024;0.640;1.71;0.04500;237.5944061
frwd;par;1024;0.640;1.71;0.09000;237.5984344
frwd;par;1024;0.640;2.00;0.00438;236.7842102
frwd;par;1024;0.640;2.00;0.02260;236.8023224
frwd;par;1024;0.640;2.00;0.04500;236.8195343
frwd;par;1024;0.640;2.00;0.09000;236.835907
frwd;par;1024;0.832;1.71;0.04500;369.1983337
frwd;par;128;0.168;1.66;0.00200;81.2879639
frwd;par;128;0.235;1.66;0.00200;8.8916101
frwd;par;128;0.320;1.71;0.04500;13.6463814
frwd;par;128;0.336;1.30;0.00100;14.6682987
frwd;par;128;0.336;1.30;0.00438;14.6683159
frwd;par;128;0.336;1.66;0.00200;14.6453876
frwd;par;128;0.336;1.68;0.00100;14.6439648
frwd;par;128;0.336;1.68;0.00438;14.6439772
frwd;par;128;0.336;2.00;0.00100;14.6244173
frwd;par;128;0.336;2.00;0.00438;14.6244354
frwd;par;128;0.437;1.66;0.00200;21.683773
frwd;par;128;0.448;1.71;0.04500;22.5182838
frwd;par;128;0.504;1.71;0.04500;27.0401211
frwd;par;128;0.640;1.30;0.00100;39.6553879
frwd;par;128;0.640;1.30;0.00438;39.6560211
frwd;par;128;0.640;1.68;0.00100;39.4263
frwd;par;128;0.640;1.68;0.00438;39.4270477
frwd;par;128;0.640;2.00;0.00438;39.2843399
frwd;par;128;0.832;1.71;0.04500;59.6763992
frwd;par;256;0.168;1.66;0.00200;9.3220024
frwd;par;256;0.235;1.66;0.00200;14.9511261
frwd;par;256;0.320;1.71;0.04500;23.5864143
frwd;par;256;0.336;1.30;0.00100;25.4490891
frwd;par;256;0.336;1.30;0.00438;25.4491272
frwd;par;256;0.336;1.66;0.00200;25.4069061
frwd;par;256;0.336;1.68;0.00100;25.4042645
frwd;par;256;0.336;1.68;0.00438;25.4042854
frwd;par;256;0.336;2.00;0.00100;25.3669033
frwd;par;256;0.336;2.00;0.00438;25.3669224
frwd;par;256;0.437;1.66;0.00200;38.2636948
frwd;par;256;0.448;1.71;0.04500;39.7903709
frwd;par;256;0.504;1.71;0.04500;48.0762062
frwd;par;256;0.640;1.30;0.00100;71.2905884
frwd;par;256;0.640;1.30;0.00438;71.2915878
frwd;par;256;0.640;1.68;0.00100;70.8755722
frwd;par;256;0.640;1.68;0.00438;70.8767776
frwd;par;256;0.640;2.00;0.00438;70.612648
frwd;par;256;0.832;1.71;0.04500;108.4172821
frwd;par;512;0.168;1.66;0.00200;15.6737671
frwd;par;512;0.235;1.66;0.00200;25.8939857
frwd;par;512;0.320;1.71;0.04500;41.7098503
frwd;par;512;0.336;1.30;0.00100;45.1312256
frwd;par;512;0.336;1.30;0.00220;45.1312447
frwd;par;512;0.336;1.30;0.00438;45.1312561
frwd;par;512;0.336;1.30;0.02260;45.131134
frwd;par;512;0.336;1.30;0.09000;45.1270027
frwd;par;512;0.336;1.66;0.00100;45.0546379
frwd;par;512;0.336;1.66;0.00200;45.0546532
frwd;par;512;0.336;1.66;0.00220;45.0546494
frwd;par;512;0.336;1.66;0.00438;45.0546684
frwd;par;512;0.336;1.68;0.00100;45.0498276
frwd;par;512;0.336;1.68;0.00438;45.0498657
frwd;par;512;0.336;1.71;0.02260;45.0426598
frwd;par;512;0.336;1.71;0.04500;45.0421219
frwd;par;512;0.336;1.71;0.09000;45.0394516
frwd;par;512;0.336;2.00;0.00100;44.9805603
frwd;par;512;0.336;2.00;0.00220;44.9805756
frwd;par;512;0.336;2.00;0.00438;44.9806099
frwd;par;512;0.336;2.00;0.02260;44.9806252
frwd;par;512;0.336;2.00;0.09000;44.9781685
frwd;par;512;0.437;1.66;0.00200;68.7359314
frwd;par;512;0.448;1.71;0.04500;71.5539246
frwd;par;512;0.504;1.71;0.04500;86.862381
frwd;par;512;0.640;1.30;0.00100;129.9050903
frwd;par;512;0.640;1.30;0.00438;129.9067535
frwd;par;512;0.640;1.30;0.02260;129.913559
frwd;par;512;0.640;1.30;0.04500;129.9173889
frwd;par;512;0.640;1.30;0.09000;129.9099426
frwd;par;512;0.640;1.68;0.00100;129.1520386
frwd;par;512;0.640;1.68;0.00438;129.1540833
frwd;par;512;0.640;1.71;0.02260;129.1051941
frwd;par;512;0.640;1.71;0.04500;129.1129456
frwd;par;512;0.640;1.71;0.09000;129.1158752
frwd;par;512;0.640;2.00;0.00438;128.6700134
frwd;par;512;0.640;2.00;0.02260;128.6806793
frwd;par;512;0.640;2.00;0.04500;128.6908112
frwd;par;512;0.640;2.00;0.09000;128.700592
frwd;par;512;0.832;1.71;0.04500;199.2299805
frwd;tm;1024;0.168;1.66;0.002;27.39172
frwd;tm;1024;0.235;1.66;0.002;46.43284
frwd;tm;1024;0.336;1.30;0.001;83.08244
frwd;tm;1024;0.336;1.30;0.0438;83.1412
frwd;tm;1024;0.336;1.66;0.001;82.6938
frwd;tm;1024;0.336;1.66;0.002;82.71288
frwd;tm;1024;0.336;1.66;0.00438;82.9026666667
frwd;tm;1024;0.336;1.71;0.045;82.71288
frwd;tm;1024;0.336;2.00;0.001;81.3432142857
frwd;tm;1024;0.336;2.00;0.0438;81.7850833333
frwd;tm;1024;0.640;1.30;0.0226;246.17
frwd;tm;1024;0.640;1.30;0.09;254.7836363636
frwd;tm;1024;0.640;1.71;0.0226;224.38
frwd;tm;1024;0.640;1.71;0.045;241.245
frwd;tm;1024;0.640;2.00;0.0226;238.814
frwd;tm;1024;0.640;2.00;0.045;235.41
frwd;tm;128;0.168;1.66;0.002;5.7656130435
frwd;tm;128;0.235;1.66;0.002;8.950008
frwd;tm;128;0.32;1.71;0.045;13.86608
frwd;tm;128;0.336;1.66;0.002;14.8348
frwd;tm;128;0.437;1.66;0.002;21.97512
frwd;tm;128;0.448;1.71;0.045;22.99368
frwd;tm;128;0.504;1.66;0.002;27.3481666667
frwd;tm;128;0.73;1.71;0.069;50.88848
frwd;tm;128;0.832;1.71;0.045;62.842625
frwd;tm;128;0.96;1.71;0.045;79.712
frwd;tm;128;0.336;1.30;0.001;14.9233636364
frwd;tm;128;0.336;1.30;0.0438;14.9296818182
frwd;tm;128;0.336;1.30;0.0226;14.98424
frwd;tm;128;0.336;1.30;0.09;15.10876
frwd;tm;128;0.336;1.68;0.001;14.8080454545
frwd;tm;128;0.336;1.68;0.00438;14.8138636364
frwd;tm;128;0.336;2.00;0.001;14.6993181818
frwd;tm;128;0.336;2.00;0.0438;14.7046363636
frwd;tm;128;0.336;2.00;0.0226;14.74932
frwd;tm;128;0.336;2.00;0.09;14.85304
frwd;tm;128;0.640;1.30;0.001;40.20336
frwd;tm;128;0.640;1.30;0.0438;39.9235294118
frwd;tm;128;0.640;1.30;0.0226;40.52656
frwd;tm;128;0.640;1.30;0.09;41.49744
frwd;tm;128;0.640;1.68;0.001;39.87004
frwd;tm;128;0.640;1.68;0.00438;39.92408
frwd;tm;128;0.640;1.71;0.045;40.526
frwd;tm;128;0.640;2.00;0.001;39.399190476190469
frwd;tm;128;0.640;2.00;0.0438;39.521583333333332
frwd;tm;128;0.640;2.00;0.0226;39.762782608695659
frwd;tm;128;0.640;2.00;0.09;40.7584761905
frwd;tm;256;0.168;1.66;0.002;9.2710666667
frwd;tm;256;0.235;1.66;0.002;14.92796
frwd;tm;256;0.32;1.71;0.045;23.91328
frwd;tm;256;0.437;1.66;0.002;38.63132
frwd;tm;256;0.448;1.71;0.045;40.54772
frwd;tm;256;0.504;1.71;0.045;49.08908
frwd;tm;256;0.832;1.71;0.045;114.0554166667
frwd;tm;256;0.336;1.30;0.001;26.0286666667
frwd;tm;256;0.336;1.30;0.0438;26.0418333333
frwd;tm;256;0.336;1.30;0.0226;26.3068421053
frwd;tm;256;0.336;1.30;0.09;26.4280666667
frwd;tm;256;0.336;1.66;0.002;25.66108
frwd;tm;256;0.336;1.68;0.001;25.8904166667
frwd;tm;256;0.336;1.68;0.00438;25.9025
frwd;tm;256;0.336;2.00;0.001;25.7324285714
frwd;tm;256;0.336;2.00;0.0438;25.7481818182
frwd;tm;256;0.336;2.00;0.0226;25.6929230769
frwd;tm;256;0.336;2.00;0.09;26.0638965517
frwd;tm;256;0.640;1.30;0.001;72.7911818182
frwd;tm;256;0.640;1.30;0.0438;72.8930909091
frwd;tm;256;0.640;1.30;0.0226;72.7286666667
