                             

Qa_par1024_0168_166_000200;0.0070224

Qa_par1024_0235_166_000200;0.0102535

Qa_par1024_0320_171_004500;0.3189366

Qa_par1024_0336_130_000100;0.0086956

Qa_par1024_0336_130_000220;0.0191165

Qa_par1024_0336_130_000438;0.0380095

Qa_par1024_0336_130_002260;0.1940442

Qa_par1024_0336_130_009000;0.7456802

Qa_par1024_0336_166_000100;0.0078122

Qa_par1024_0336_166_000200;0.0156168

Qa_par1024_0336_166_000220;0.0171769

Qa_par1024_0336_166_000438;0.0341617

Qa_par1024_0336_168_000100;0.0077535

Qa_par1024_0336_168_000438;0.0339058

Qa_par1024_0336_171_002260;0.1714992

Qa_par1024_0336_171_004520;0.3395296

Qa_par1024_0336_171_009000;0.6630606

Qa_par1024_0336_200_000100;0.0067693

Qa_par1024_0336_200_000220;0.0148857

Qa_par1024_0336_200_000438;0.0296117

Qa_par1024_0437_166_000200;0.0216148

Qa_par1024_0448_171_004500;0.4807944

Qa_par1024_0504_171_004500;0.5580228

Qa_par1024_0640_130_000100;0.0180363

Qa_par1024_0640_130_000438;0.0786356

Qa_par1024_0640_130_002260;0.3959255

Qa_par1024_0640_130_004520;0.768802

Qa_par1024_0640_130_009000;1.4476268

Qa_par1024_0640_168_000100;0.0178561

Qa_par1024_0640_168_000438;0.0778959

Qa_par1024_0640_171_002260;0.3921995

Qa_par1024_0640_171_004520;0.7643244

Qa_par1024_0640_171_009000;1.4475105

Qa_par1024_0640_200_000438;0.0745448

Qa_par1024_0640_200_002260;0.3775126

Qa_par1024_0640_200_004520;0.7378776

Qa_par1024_0640_200_009000;1.4048882

Qa_par1024_0832_171_004500;1.0780594

Qa_par128_0168_166_000200;0.0086956

Qa_par128_0235_166_000200;0.0051277

Qa_par128_0320_171_004500;0.1603605

Qa_par128_0336_130_000100;0.0043485

Qa_par128_0336_130_000438;0.0190189

Qa_par128_0336_166_000200;0.0078105

Qa_par128_0336_168_000100;0.0038773

Qa_par128_0336_168_000438;0.0169628

Qa_par128_0336_200_000100;0.003385

Qa_par128_0336_200_000438;0.0148128

Qa_par128_0437_166_000200;0.0108114

Qa_par128_0448_171_004500;0.2424137

Qa_par128_0504_171_004500;0.2817383

Qa_par128_0640_130_000100;0.0090213

Qa_par128_0640_130_000438;0.039378

Qa_par128_0640_168_000100;0.0089308

Qa_par128_0640_168_000438;0.0390003

Qa_par128_0640_200_000438;0.0373163

Qa_par128_0832_171_004500;0.5500425

Qa_par256_0168_166_000200;0.0044242

Qa_par256_0235_166_000200;0.0064601

Qa_par256_0320_171_004500;0.2016579

Qa_par256_0336_130_000100;0.0054785

Qa_par256_0336_130_000438;0.0239562

Qa_par256_0336_166_000200;0.0098398

Qa_par256_0336_168_000100;0.0048848

Qa_par256_0336_168_000438;0.0213676

Qa_par256_0336_200_000100;0.0042647

Qa_par256_0336_200_000438;0.0186599

Qa_par256_0437_166_000200;0.0136198

Qa_par256_0448_171_004500;0.3045544

Qa_par256_0504_171_004500;0.3537941

Qa_par256_0640_130_000100;0.0113648

Qa_par256_0640_130_000438;0.0495873

Qa_par256_0640_168_000100;0.0112509

Qa_par256_0640_168_000438;0.0491148

Qa_par256_0640_200_000438;0.0469968

Qa_par256_0832_171_004500;0.6882536

Qa_par512_0168_166_000200;0.0055739

Qa_par512_0235_166_000200;0.0081387

Qa_par512_0320_171_004500;0.2536024

Qa_par512_0336_130_000100;0.0069021

Qa_par512_0336_130_000220;0.0151746

Qa_par512_0336_130_000438;0.0301755

Qa_par512_0336_130_002260;0.1542059

Qa_par512_0336_130_009000;0.5948004

Qa_par512_0336_166_000100;0.0062008

Qa_par512_0336_166_000200;0.0123962

Qa_par512_0336_166_000220;0.0136346

Qa_par512_0336_166_000438;0.0271195

Qa_par512_0336_168_000100;0.0061542

Qa_par512_0336_168_000438;0.0269162

Qa_par512_0336_171_002260;0.1362512

Qa_par512_0336_171_004520;0.2700079

Qa_par512_0336_171_009000;0.5283047

Qa_par512_0336_200_000100;0.005373

Qa_par512_0336_200_000220;0.0118157

Qa_par512_0336_200_000438;0.0235064

Qa_par512_0336_200_002260;0.1205365

Qa_par512_0336_200_009000;0.4694062

Qa_par512_0437_166_000200;0.0171578

Qa_par512_0448_171_004500;0.382651

Qa_par512_0504_171_004500;0.4443145

Qa_par512_0640_130_000100;0.0143171

Qa_par512_0640_130_000438;0.0624443

Qa_par512_0640_130_002260;0.3150564

Qa_par512_0640_130_004520;0.613336

Qa_par512_0640_130_009000;1.1606841

Qa_par512_0640_168_000100;0.0141738

Qa_par512_0640_168_000438;0.0618532

Qa_par512_0640_171_002260;0.3119847

Qa_par512_0640_171_004520;0.6093499

Qa_par512_0640_171_009000;1.1590439

Qa_par512_0640_200_000438;0.0591891

Qa_par512_0640_200_002260;0.3002264

Qa_par512_0640_200_004520;0.5879731

Qa_par512_0640_200_009000;1.1238184

Qa_par512_0832_171_004500;0.8613371

Qa_tm102401681660002;0.0077144719999999974

Qa_tm102402351660002;0.01127156

Qa_tm10243360130001;0.00868094

Qa_tm1024336013000438;0.03795452

Qa_tm102433601660001;0.0078706560000000019

Qa_tm102433601660002;0.0172326

Qa_tm10243360166000438;0.034428

Qa_tm102433601710045;0.0172326

Qa_tm10243360200001;0.0070451357142857149

Qa_tm1024336020000438;0.030827875

